algorithm,bits,wikitext2
awq,2.0,9.047749519348145
awq,3.0,5.304544925689697
awq,4.0,4.968934535980225
awq,3.388223140495868,5.3759765625
awq,2.5522727272727272,6.665579319000244
awq,3.1204545454545456,5.63360595703125
awq,2.906611570247934,6.036101818084717
awq,3.097933884297521,5.56377649307251
awq,3.3014462809917355,5.612135410308838
awq,3.141322314049587,5.454827785491943
awq,3.1601239669421486,5.730487823486328
awq,3.0547520661157024,5.394237995147705
awq,2.6991735537190085,5.966858863830566
awq,3.159090909090909,5.609894275665283
awq,3.0607438016528925,5.877996444702148
awq,3.530578512396694,5.129835605621338
awq,3.493801652892562,5.1656060218811035
awq,2.902685950413223,5.979096412658691
awq,2.7369834710743803,6.1989898681640625
awq,3.1134297520661156,5.402437210083008
awq,2.734090909090909,6.018867015838623
awq,3.030578512396694,5.810923099517822
awq,2.6167355371900825,6.392960071563721
